n; comparisons; swaps; duration;
100; 2543; 2444; 0,000000; 
200; 9955; 9756; 0,000000; 
300; 22936; 22637; 0,000000; 
400; 41727; 41328; 0,000000; 
500; 62134; 61635; 0,000000; 
600; 90152; 89553; 0,000000; 
700; 119106; 118407; 0,000990; 
800; 156440; 155641; 0,000000; 
900; 190380; 189481; 0,001001; 
1000; 244722; 243723; 0,001017; 
1100; 314826; 313727; 0,000000; 
1200; 358805; 357606; 0,000998; 
1300; 419019; 417720; 0,002027; 
1400; 486347; 484948; 0,001025; 
1500; 565190; 563691; 0,002020; 
1600; 642708; 641109; 0,002016; 
1700; 721337; 719638; 0,002005; 
1800; 792944; 791145; 0,001731; 
1900; 919912; 918013; 0,003033; 
2000; 1004210; 1002211; 0,003016; 
2100; 1115244; 1113145; 0,003033; 
2200; 1243303; 1241104; 0,003968; 
2300; 1345923; 1343624; 0,004049; 
2400; 1449430; 1447031; 0,004040; 
2500; 1586027; 1583528; 0,006051; 
2600; 1648635; 1646036; 0,005027; 
2700; 1808492; 1805793; 0,006002; 
2800; 1978183; 1975384; 0,005950; 
2900; 2130215; 2127316; 0,007005; 
3000; 2236237; 2233238; 0,007066; 
3100; 2411789; 2408690; 0,008003; 
3200; 2570322; 2567123; 0,007994; 
3300; 2769985; 2766686; 0,009052; 
3400; 2976521; 2973122; 0,009997; 
3500; 3062730; 3059231; 0,009983; 
3600; 3329704; 3326105; 0,010012; 
3700; 3416789; 3413090; 0,012034; 
3800; 3632625; 3628826; 0,011996; 
3900; 3724935; 3721036; 0,012000; 
4000; 4024625; 4020626; 0,016083; 
4100; 4188108; 4184009; 0,014072; 
4200; 4378312; 4374113; 0,015060; 
4300; 4565149; 4560850; 0,015083; 
4400; 4854193; 4849794; 0,016056; 
4500; 5044685; 5040186; 0,017063; 
4600; 5260094; 5255495; 0,019000; 
4700; 5587472; 5582773; 0,018028; 
4800; 5772417; 5767618; 0,019000; 
4900; 5977145; 5972246; 0,021035; 
5000; 6309850; 6304851; 0,020097; 
5100; 6502838; 6497739; 0,022066; 
5200; 6784765; 6779566; 0,023000; 
5300; 7063183; 7057884; 0,023995; 
5400; 7322532; 7317133; 0,025998; 
5500; 7537971; 7532472; 0,026061; 
5600; 7746301; 7740702; 0,026975; 
5700; 8152439; 8146740; 0,028037; 
5800; 8312447; 8306648; 0,027993; 
5900; 8804483; 8798584; 0,031031; 
6000; 9004756; 8998757; 0,030941; 
6100; 9368661; 9362562; 0,032998; 
6200; 9681469; 9675270; 0,032286; 
6300; 9845444; 9839145; 0,033979; 
6400; 10115262; 10108863; 0,035077; 
6500; 10538466; 10531967; 0,035000; 
6600; 10851319; 10844720; 0,038974; 
6700; 11208242; 11201543; 0,039004; 
6800; 11536420; 11529621; 0,038037; 
6900; 11887940; 11881041; 0,045041; 
7000; 12135996; 12128997; 0,041023; 
7100; 12470077; 12462978; 0,043045; 
7200; 12735553; 12728354; 0,043004; 
7300; 13355789; 13348490; 0,045032; 
7400; 13870310; 13862911; 0,047073; 
7500; 14087095; 14079596; 0,048003; 
7600; 14460140; 14452541; 0,050301; 
7700; 15005187; 14997488; 0,050000; 
7800; 15201772; 15193973; 0,051997; 
7900; 15637723; 15629824; 0,051983; 
8000; 16155448; 16147449; 0,054065; 
8100; 16447062; 16438963; 0,054996; 
8200; 16915843; 16907644; 0,058037; 
8300; 17151914; 17143615; 0,058015; 
8400; 17608505; 17600106; 0,058959; 
8500; 18089518; 18081019; 0,062063; 
8600; 18577743; 18569144; 0,061998; 
8700; 18837086; 18828387; 0,061995; 
8800; 19309297; 19300498; 0,067008; 
8900; 19915536; 19906637; 0,068067; 
9000; 20329901; 20320902; 0,068060; 
9100; 20913231; 20904132; 0,071059; 
9200; 20896532; 20887333; 0,072116; 
9300; 21424918; 21415619; 0,076101; 
9400; 22291645; 22282246; 0,077015; 
9500; 22460380; 22450881; 0,078996; 
9600; 23040215; 23030616; 0,085039; 
9700; 23522859; 23513160; 0,082038; 
9800; 24263971; 24254172; 0,080067; 
9900; 24515432; 24505533; 0,087999; 
10000; 25174574; 25164575; 0,084997; 
