n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; swaps; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; duration;
100; 2558; 2514; 2958; 2684; 2548; 2506; 2835; 2543; 2739; 2655; 2680; 2560; 2400; 2661; 2580; 2365; 2543; 2699; 2755; 2836; 2550; 2419; 2528; 2478; 2442; 2459; 2415; 2859; 2585; 2449; 2407; 2736; 2444; 2640; 2556; 2581; 2461; 2301; 2562; 2481; 2266; 2444; 2600; 2656; 2737; 2451; 2320; 2429; 2379; 2343; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 
200; 9818; 10510; 9951; 9864; 9461; 10071; 10007; 9086; 9611; 10059; 9790; 10683; 9288; 9658; 9635; 10334; 11346; 10077; 10152; 9409; 9915; 10974; 10830; 9595; 9657; 9619; 10311; 9752; 9665; 9262; 9872; 9808; 8887; 9412; 9860; 9591; 10484; 9089; 9459; 9436; 10135; 11147; 9878; 9953; 9210; 9716; 10775; 10631; 9396; 9458; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 
300; 22903; 23652; 21833; 21521; 22210; 22959; 21894; 21094; 22169; 22722; 22656; 22278; 24651; 23408; 22613; 21926; 22699; 22009; 23329; 21985; 22934; 22536; 23667; 23130; 21865; 22604; 23353; 21534; 21222; 21911; 22660; 21595; 20795; 21870; 22423; 22357; 21979; 24352; 23109; 22314; 21627; 22400; 21710; 23030; 21686; 22635; 22237; 23368; 22831; 21566; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000998; 0,000000; 0,000000; 
400; 40409; 38821; 39859; 42917; 41404; 39803; 38966; 42032; 40132; 41641; 37381; 38223; 40296; 42744; 38151; 39184; 41040; 39944; 39767; 39012; 39521; 39429; 39808; 41263; 41396; 40010; 38422; 39460; 42518; 41005; 39404; 38567; 41633; 39733; 41242; 36982; 37824; 39897; 42345; 37752; 38785; 40641; 39545; 39368; 38613; 39122; 39030; 39409; 40864; 40997; 0,000000; 0,000000; 0,000998; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,001005; 0,000000; 0,000000; 0,000000; 0,000000; 0,001057; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000948; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 
500; 61679; 62051; 64491; 62854; 65160; 61341; 62234; 60147; 62072; 62175; 62060; 61107; 60302; 63025; 62367; 67249; 61579; 64254; 63998; 64486; 60650; 62664; 64363; 64180; 61416; 61180; 61552; 63992; 62355; 64661; 60842; 61735; 59648; 61573; 61676; 61561; 60608; 59803; 62526; 61868; 66750; 61080; 63755; 63499; 63987; 60151; 62165; 63864; 63681; 60917; 0,000000; 0,000000; 0,000000; 0,000999; 0,000000; 0,000000; 0,000000; 0,000000; 0,001051; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000997; 0,000000; 0,000000; 0,000000; 0,000997; 0,000000; 0,000000; 0,000000; 
600; 88211; 95690; 87540; 87559; 92177; 90833; 90314; 90443; 92085; 91044; 90640; 87579; 91243; 89761; 92247; 86036; 92555; 89557; 92998; 85875; 92135; 88723; 88431; 90696; 89313; 87612; 95091; 86941; 86960; 91578; 90234; 89715; 89844; 91486; 90445; 90041; 86980; 90644; 89162; 91648; 85437; 91956; 88958; 92399; 85276; 91536; 88124; 87832; 90097; 88714; 0,000000; 0,000000; 0,001027; 0,000000; 0,000000; 0,000000; 0,000996; 0,000000; 0,000000; 0,000987; 0,000000; 0,000000; 0,001013; 0,000000; 0,000000; 0,000975; 0,000000; 0,000000; 0,000000; 0,001048; 0,000000; 0,000953; 0,000000; 0,000000; 0,000997; 
700; 121829; 124339; 117832; 124954; 124621; 121372; 120706; 121109; 121002; 126432; 128701; 126122; 115858; 123248; 123553; 123541; 127618; 121668; 121021; 125365; 123617; 125185; 126256; 123942; 124941; 121130; 123640; 117133; 124255; 123922; 120673; 120007; 120410; 120303; 125733; 128002; 125423; 115159; 122549; 122854; 122842; 126919; 120969; 120322; 124666; 122918; 124486; 125557; 123243; 124242; 0,000000; 0,000999; 0,000000; 0,001002; 0,000000; 0,000000; 0,001023; 0,000000; 0,000977; 0,000000; 0,001053; 0,000000; 0,000972; 0,000000; 0,000000; 0,000975; 0,000000; 0,001011; 0,000000; 0,000000; 0,000000; 0,000000; 0,000989; 0,000000; 0,001000; 
800; 156926; 164468; 163512; 166763; 163255; 164339; 156352; 160316; 157704; 156164; 158756; 158988; 157789; 168204; 159200; 160828; 161322; 160766; 158941; 159497; 162431; 163039; 161130; 158353; 165390; 156127; 163669; 162713; 165964; 162456; 163540; 155553; 159517; 156905; 155365; 157957; 158189; 156990; 167405; 158401; 160029; 160523; 159967; 158142; 158698; 161632; 162240; 160331; 157554; 164591; 0,000999; 0,000000; 0,001000; 0,000000; 0,001003; 0,000000; 0,001003; 0,000000; 0,001011; 0,000000; 0,000000; 0,001008; 0,000000; 0,000973; 0,000000; 0,000996; 0,000000; 0,000000; 0,001000; 0,000000; 0,001000; 0,000000; 0,001000; 0,000000; 0,001000; 
900; 201698; 201127; 213605; 199823; 197386; 203316; 200345; 198597; 205797; 197120; 198674; 205124; 200998; 199799; 202463; 207032; 200536; 200230; 199869; 206024; 212330; 209361; 205034; 212275; 202649; 200799; 200228; 212706; 198924; 196487; 202417; 199446; 197698; 204898; 196221; 197775; 204225; 200099; 198900; 201564; 206133; 199637; 199331; 198970; 205125; 211431; 208462; 204135; 211376; 201750; 0,000000; 0,001021; 0,000978; 0,000000; 0,001002; 0,001034; 0,000972; 0,000000; 0,001046; 0,000968; 0,000000; 0,001004; 0,001001; 0,000000; 0,000987; 0,001000; 0,000000; 0,001018; 0,000974; 0,001025; 0,001013; 0,000957; 0,000000; 0,001001; 0,001019; 
1000; 249574; 245654; 256992; 251714; 255362; 248547; 251390; 253551; 251374; 246508; 254980; 243772; 257206; 252850; 242050; 248106; 258929; 256970; 250839; 251116; 247844; 250939; 249077; 256906; 238827; 248575; 244655; 255993; 250715; 254363; 247548; 250391; 252552; 250375; 245509; 253981; 242773; 256207; 251851; 241051; 247107; 257930; 255971; 249840; 250117; 246845; 249940; 248078; 255907; 237828; 0,000000; 0,001025; 0,000989; 0,001007; 0,000992; 0,000000; 0,001000; 0,001006; 0,001009; 0,001013; 0,000960; 0,000000; 0,001025; 0,000991; 0,000984; 0,001033; 0,000990; 0,000000; 0,001030; 0,000993; 0,000968; 0,000998; 0,001000; 0,000000; 0,001000; 
